gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
-1.3428699,1.0631051999999999,0.50357616,-0.66015625,-10.003906,1.21875
-1.5107286,1.1750112,0.0,-0.66015625,-10.003906,1.21875
-1.2309641000000002,1.1750112,-0.27976456,-0.66015625,-10.003906,1.21875
-1.2309641000000002,1.1750112,-0.27976456,-0.66015625,-10.003906,1.21875
-1.0631051999999999,0.83929366,-0.72738785,-0.66015625,-10.003906,1.21875
-1.0631051999999999,0.83929366,-0.72738785,-0.66015625,-10.003906,1.21875
-0.78334075,0.16785873,-1.286917,-0.66015625,-10.003906,1.21875
-0.61548203,0.05595291,-1.2309641000000002,-0.66015625,-10.003906,1.21875
-0.61548203,0.05595291,-1.2309641000000002,-0.8515625,-9.9296875,1.296875
-0.22381164,0.22381164,-0.83929366,-0.8515625,-9.9296875,1.296875
-0.22381164,0.22381164,-0.83929366,-0.8515625,-9.9296875,1.296875
0.22381164,-0.05595291,-1.0071523,-0.8515625,-9.9296875,1.296875
0.78334075,-1.2309641000000002,-0.89524657,-0.8515625,-9.9296875,1.296875
0.78334075,-1.2309641000000002,-0.89524657,-0.8515625,-9.9296875,1.296875
1.0071523,-0.50357616,-0.89524657,-0.8515625,-9.9296875,1.296875
1.0071523,-0.50357616,-0.89524657,-0.8515625,-9.9296875,1.296875
1.1750112,-0.44762328,-0.27976456,-0.8515625,-9.9296875,1.296875
1.6226344,-0.44762328,0.50357616,-0.8515625,-9.9296875,1.296875
1.6226344,-0.44762328,0.50357616,-0.8515625,-9.9296875,1.296875
1.9583519,-0.67143494,0.72738785,-0.8515625,-9.9296875,1.296875
1.9583519,-0.67143494,0.72738785,-0.8515625,-9.8515625,1.3359375
2.517881,-0.50357616,1.0071523,-0.8515625,-9.8515625,1.3359375
2.9655042000000003,-1.1750112,1.3428699,-0.8515625,-9.8515625,1.3359375
2.9655042000000003,-1.1750112,1.3428699,-0.8515625,-9.8515625,1.3359375
2.7976456,-1.4547757,1.4547757,-0.8515625,-9.8515625,1.3359375
2.7976456,-1.4547757,1.4547757,-0.8515625,-9.8515625,1.3359375
2.9095514,-1.5666815,1.286917,-0.8515625,-9.8515625,1.3359375
2.9095514,-1.4547757,1.2309641000000002,-0.8515625,-9.8515625,1.3359375
2.9095514,-1.4547757,1.2309641000000002,-0.8515625,-9.8515625,1.3359375
3.0214572,-1.6785873,1.1190583,-0.8515625,-9.8515625,1.3359375
3.0214572,-1.6785873,1.1190583,-0.69921875,-9.855469,1.1445312
3.3012216,-1.5107286,1.0071523,-0.69921875,-9.855469,1.1445312
3.3012216,-1.5107286,1.0071523,-0.69921875,-9.855469,1.1445312
3.07741,-1.2309641000000002,0.89524657,-0.69921875,-9.855469,1.1445312
3.07741,-1.2309641000000002,0.89524657,-0.69921875,-9.855469,1.1445312
3.07741,-1.2309641000000002,0.89524657,-0.69921875,-9.855469,1.1445312
3.1893158,-0.72738785,0.89524657,-0.69921875,-9.855469,1.1445312
2.7416925,0.11190582,1.1750112,-0.69921875,-9.855469,1.1445312
2.7416925,0.11190582,1.1750112,-0.69921875,-9.855469,1.1445312
2.6857398,0.44762328,1.2309641000000002,-0.69921875,-9.855469,1.1445312
2.6857398,0.44762328,1.2309641000000002,-0.66015625,-9.8125,0.9140625
2.4619281,1.0631051999999999,1.0071523,-0.66015625,-9.8125,0.9140625
2.1262105,1.7904931,1.2309641000000002,-0.66015625,-9.8125,0.9140625
2.1262105,1.7904931,1.2309641000000002,-0.66015625,-9.8125,0.9140625
1.6785873,2.573834,1.1750112,-0.66015625,-9.8125,0.9140625
1.6785873,2.573834,1.1750112,-0.66015625,-9.8125,0.9140625
1.6226344,2.9095514,0.67143494,-0.66015625,-9.8125,0.9140625
1.6226344,2.9095514,0.67143494,-0.66015625,-9.8125,0.9140625
1.3988228,2.6297867000000004,-0.67143494,-0.66015625,-9.8125,0.9140625
0.78334075,2.8535984,-0.33571747,-0.66015625,-9.8125,0.9140625
0.78334075,2.8535984,-0.33571747,-0.66015625,-9.8125,0.9140625
0.16785873,3.07741,0.16785873,-0.66015625,-9.8125,0.9140625
0.16785873,3.07741,0.16785873,-0.8125,-9.738281,0.953125
0.50357616,2.0702577,-0.44762328,-0.8125,-9.738281,0.953125
0.33571747,1.8464459999999998,-0.83929366,-0.8125,-9.738281,0.953125
0.33571747,1.8464459999999998,-0.83929366,-0.8125,-9.738281,0.953125
0.11190582,1.4547757,-0.89524657,-0.8125,-9.738281,0.953125
0.11190582,1.4547757,-0.89524657,-0.8125,-9.738281,0.953125
-0.39167038,1.1190583,-0.11190582,-0.8125,-9.738281,0.953125
-0.44762328,0.5595291,0.39167038,-0.8125,-9.738281,0.953125
-0.44762328,0.5595291,0.39167038,-0.8125,-9.738281,0.953125
-0.50357616,0.78334075,0.33571747,-0.8125,-9.738281,0.953125
-0.50357616,0.78334075,0.33571747,-0.8125,-9.890625,1.1054688
-0.39167038,0.83929366,0.67143494,-0.8125,-9.890625,1.1054688
-0.50357616,1.0071523,1.1750112,-0.8125,-9.890625,1.1054688
-0.50357616,1.0071523,1.1750112,-0.8125,-9.890625,1.1054688
-0.50357616,1.1190583,1.3428699,-0.8125,-9.890625,1.1054688
-0.50357616,1.1190583,1.3428699,-0.8125,-9.890625,1.1054688
-0.33571747,1.5107286,1.3428699,-0.8125,-9.890625,1.1054688
0.0,1.5107286,1.7904931,-0.8125,-9.890625,1.1054688
0.0,1.5107286,1.7904931,-0.8125,-9.890625,1.1054688
-0.16785873,1.1190583,2.0702577,-0.8125,-9.890625,1.1054688
